user_id,raw_date,num_day,num_frn,num_frn_des,num_frn_n2,num_frn_n3,num_frn_n,max_freq_n2,max_freq_n3,num_n2,num_n3,num_tag,num_tag2,num_nick,frn_ok
zola1201,2009-04-03,0,20,19,10,0,10,10,0,1,0,9,9,1,1
ZITAN,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yatve,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
willyben,2009-04-03,0,13,12,10,0,10,6,0,2,0,6,1,0,1
wfuw,2009-04-03,0,20,18,3,2,4,3,1,1,2,14,7,4,1
v280096,2009-04-03,3,179,124,80,24,80,70,23,5,2,24,32,15,1
tina091768,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tcstyle,2009-04-03,0,10,10,6,0,6,4,0,2,0,3,1,0,1
SUSU75816,2009-04-03,0,19,19,10,0,10,7,0,3,0,8,5,3,1
super696x,2009-04-03,3,20,20,10,0,10,10,0,1,0,8,3,1,1
sssjacky1018,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowcyn32,2009-04-03,3,20,18,11,0,11,6,0,3,0,1,2,6,1
sm1831azx,2009-04-03,0,43,35,32,0,32,27,0,4,0,10,7,2,1
silpheed,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shinemimi,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shinemi,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seau,2009-04-03,0,20,19,4,0,4,2,0,2,0,4,5,3,1
ru86,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rikarika,2009-04-03,2,14,13,5,0,5,5,0,1,0,4,4,1,1
puppyjaw,2009-04-03,0,16,11,4,0,4,4,0,1,0,5,7,1,1
Princess1024,2009-04-03,3,20,10,6,0,6,4,0,2,0,0,2,3,1
pphil,2009-04-03,0,13,11,0,0,0,0,0,0,0,5,1,2,1
pony10827,2009-04-03,3,20,14,0,0,0,0,0,0,0,4,1,4,1
p61012,2009-04-03,3,19,16,4,0,4,4,0,1,0,2,5,6,1
onepiece1712,2009-04-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ohyaduncan,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mzptyv2205,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mystyle1223,2009-04-03,3,20,16,6,0,6,4,0,2,0,4,3,2,1
moonsea90,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miyaken,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miranda75,2009-04-03,2,20,13,0,5,5,0,3,0,2,2,1,6,1
milkteadog,2009-04-03,3,20,6,0,0,0,0,0,0,0,3,1,1,1
mib7256364,2009-04-03,3,59,52,8,8,13,5,3,3,4,21,16,7,1
merrice1029,2009-04-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MerfolkX,2009-04-03,2,20,18,0,0,0,0,0,0,0,11,6,1,1
meastar,2009-04-03,0,20,20,3,5,6,3,3,1,2,5,4,2,1
mag760628,2009-04-03,0,20,19,4,0,4,4,0,1,0,6,7,0,1
macaque,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luxmgy,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luffy1014,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lsh770301,2009-04-03,3,20,19,8,2,8,6,1,2,2,6,4,5,1
kiuj,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitty771108,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kii111,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
katy0304,2009-04-03,3,47,43,24,0,24,16,0,2,0,16,7,5,1
karen7510,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jwu618,2009-04-03,0,20,18,3,0,3,3,0,1,0,2,2,4,1
jiunda,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jessica80597,2009-04-03,0,4,4,2,0,2,2,0,1,0,3,3,3,1
jescar725,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hunterex,2009-04-03,3,20,19,2,0,2,2,0,1,0,6,7,4,1
hic3,2009-04-03,3,70,57,4,0,4,4,0,2,0,21,12,7,1
goodmankuo,2009-04-03,0,7,5,0,0,0,0,0,0,0,0,0,2,1
glaysteve,2009-04-03,0,6,6,0,0,0,0,0,0,0,3,2,1,1
geniorrr,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fcinzaghi,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farlove1338,2009-04-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0
facepaper,2009-04-03,0,55,49,18,6,23,18,3,2,3,25,32,13,1
edar520,2009-04-03,3,20,20,10,0,10,4,0,3,0,9,7,3,1
doo78228,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d12345890,2009-04-03,1,20,19,14,1,15,8,1,2,1,4,4,3,1
cotulip,2009-04-03,2,20,19,8,0,8,5,0,2,0,5,5,8,1
comicholic,2009-04-03,0,20,15,6,0,6,6,0,1,0,4,2,4,1
clark1121,2009-04-03,3,13,12,7,0,7,7,0,1,0,4,2,1,1
chiouyun,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chibli,2009-04-03,3,11,10,0,0,0,0,0,0,0,7,1,1,1
chern,2009-04-03,3,5,5,0,0,0,0,0,0,0,3,0,0,1
c19870301,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryway,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueway0128,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biolife1002,2009-04-03,0,20,20,7,0,7,7,0,1,0,11,9,3,1
bigmelon0727,2009-04-03,3,47,43,11,5,14,11,3,1,2,16,9,8,1
bboa82,2009-04-03,3,1,1,0,0,0,0,0,0,0,0,1,1,1
batschris,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4j06,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acc99dylee,2009-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a140128162,2009-04-03,3,19,17,14,0,14,14,0,1,0,3,4,1,1
zola1201,2009-04-04,1,20,19,10,0,10,10,0,1,0,8,8,1,1
ZITAN,2009-04-04,1,3,3,0,0,0,0,0,0,0,0,1,3,1
yatve,2009-04-04,1,45,40,12,7,14,12,5,1,2,17,12,6,1
willyben,2009-04-04,1,13,12,10,0,10,6,0,2,0,6,1,0,1
wfuw,2009-04-04,1,20,18,3,2,4,3,1,1,2,14,7,4,1
wen0908,2009-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tina091768,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tim814,2009-04-04,0,20,17,4,0,4,4,0,1,0,2,1,4,1
tcstyle,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SUSU75816,2009-04-04,1,19,19,10,0,10,7,0,3,0,8,5,3,1
super696x,2009-04-04,4,20,20,10,0,10,10,0,1,0,8,3,1,1
sunnycat,2009-04-04,0,20,18,9,0,9,9,0,1,0,4,7,4,1
sssjacky1018,2009-04-04,1,13,11,6,0,6,6,0,1,0,2,3,4,1
snowcyn32,2009-04-04,4,20,18,11,0,11,6,0,3,0,1,2,6,1
sm1831azx,2009-04-04,1,43,35,32,0,32,27,0,4,0,10,7,2,1
simple11,2009-04-04,0,20,19,3,0,3,3,0,1,0,5,4,4,1
silpheed,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shoes1117,2009-04-04,0,20,18,11,2,11,8,1,2,2,12,7,4,1
shinemimi,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shinemi,2009-04-04,1,20,20,0,0,0,0,0,0,0,13,14,3,1
seau,2009-04-04,1,20,19,4,0,4,2,0,2,0,4,5,3,1
ru86,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rosyasia,2009-04-04,0,12,9,6,0,6,6,0,1,0,1,4,0,1
ronica90274,2009-04-04,0,20,20,0,1,1,0,1,0,1,9,6,8,1
rikarika,2009-04-04,3,14,13,5,0,5,5,0,1,0,4,4,1,1
puppyjaw,2009-04-04,1,16,11,4,0,4,4,0,1,0,5,7,1,1
Princess1024,2009-04-04,4,20,10,6,0,6,4,0,2,0,0,2,3,1
pphil,2009-04-04,1,13,11,0,0,0,0,0,0,0,5,1,2,1
pony10827,2009-04-04,4,20,14,0,0,0,0,0,0,0,4,1,4,1
pipilen,2009-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penny790310,2009-04-04,0,17,15,12,1,12,9,1,2,1,4,4,0,1
p61012,2009-04-04,4,19,16,4,0,4,4,0,1,0,2,5,6,1
onepiece1712,2009-04-04,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ohyaduncan,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nicholaswei,2009-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mzptyv2205,2009-04-04,1,20,18,14,0,14,11,0,2,0,8,6,2,1
mystyle1223,2009-04-04,4,20,17,6,0,6,4,0,2,0,4,4,2,1
myonlyspace,2009-04-04,0,20,17,3,0,3,3,0,1,0,7,3,1,1
moonsea90,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
miyaken,2009-04-04,1,12,9,2,0,2,2,0,1,0,1,2,4,1
miranda75,2009-04-04,3,20,13,0,5,5,0,3,0,2,2,1,6,1
milkteadog,2009-04-04,4,20,6,0,0,0,0,0,0,0,3,1,1,1
mib7256364,2009-04-04,4,60,53,8,8,13,5,3,3,4,21,16,7,1
merrice1029,2009-04-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MerfolkX,2009-04-04,3,20,18,0,0,0,0,0,0,0,11,6,1,1
meastar,2009-04-04,1,20,20,3,5,6,3,3,1,2,5,4,2,1
mag760628,2009-04-04,1,20,19,4,0,4,4,0,1,0,6,7,0,1
macaque,2009-04-04,1,18,16,10,0,10,6,0,2,0,4,2,4,1
lv1609,2009-04-04,0,12,9,3,1,3,3,1,1,1,4,0,3,1
luxmgy,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
luffy1014,2009-04-04,1,20,18,6,0,6,6,0,1,0,7,4,1,1
lsh770301,2009-04-04,4,20,19,8,2,8,6,1,2,2,6,4,5,1
lovesu0118,2009-04-04,0,11,6,0,0,0,0,0,0,0,4,3,0,1
kiuj,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kitty771108,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kii111,2009-04-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0
katy0304,2009-04-04,4,47,43,24,0,24,16,0,2,0,16,7,5,1
